Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Police Precinct
44931401,04/29/2020 02:50:45 PM,04/29/2020 03:05:25 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Highway,,,,,,,,,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,04/29/2020 03:05:28 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
44930140,04/29/2020 02:50:44 PM,04/29/2020 03:05:24 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Roadway Tunnel,,,,,,,,,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,04/29/2020 03:05:28 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,
43729382,04/29/2020 02:50:13 PM,04/29/2020 03:24:16 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Highway,,,,,,,,,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,04/29/2020 03:24:21 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,Belt Pkwy,East/Queens Bound,Ramp,Ocean Pkwy (Exit 7),,,,,,,,,
43712365,04/29/2020 02:50:12 PM,04/29/2020 03:24:16 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Highway,,,,,,,,,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,04/29/2020 03:24:21 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,Belt Pkwy,East/Queens Bound,Ramp,Ocean Pkwy (Exit 7),,,,,,,,,
43635990,04/29/2020 02:49:47 PM,04/29/2020 03:24:12 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Highway,,,,,,,,,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,04/29/2020 03:24:16 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,FDR Dr,Northbound/Uptown,Ramp,E 96 St (Exit 14),,,,,,,,,
43587693,04/29/2020 02:49:27 PM,04/29/2020 03:19:45 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Highway,,,,,,,,,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,04/29/2020 03:19:50 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,Long Island Expwy,West/Manhattan Bound,Ramp,Queens Blvd (NY 25)/Woodhaven Blvd (Exit 19),,,,,,,,,
43573577,04/29/2020 02:49:23 PM,04/29/2020 03:19:45 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Store/Commercial,10002,157 LUDLOW STREET,LUDLOW STREET,RIVINGTON STREET,STANTON STREET,RIVINGTON STREET,STANTON STREET,,NEW YORK,LUDLOW STREET,,Closed,,The Police Department reviewed your complaint and provided additional information below.,04/29/2020 03:19:48 PM,03 MANHATTAN,1004117502,MANHATTAN,987604,201957,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72100139658003,-73.9879001482633,"(40.72100139658003, -73.9879001482633)",11723,70,4,32,4,4
43523782,04/29/2020 02:49:18 PM,04/29/2020 03:19:44 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Highway,,,,,,,,,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,04/29/2020 03:19:45 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,Long Island Expwy,East/Long Island Bound,Ramp,Woodhaven Blvd Queens Blvd (Exit 19),,,,,,,,,
43513819,04/29/2020 02:49:13 PM,04/29/2020 03:19:42 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Highway,,,,,,,,,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,04/29/2020 03:19:45 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,Long Island Expwy,East/Long Island Bound,Ramp,Woodhaven Blvd Queens Blvd (Exit 19),,,,,,,,,
43498088,04/29/2020 02:49:11 PM,04/29/2020 03:24:11 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Highway,,,,,,,,,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,04/29/2020 03:24:16 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,BQE/Gowanus Expwy,East/Queens Bound,Roadway,Metropolitan Ave Williamsburg Br (Exit 32) - McGuinness Blvd / Humboldt St (Exit 33),,,,,,,,,
